data;stazione;numPassaggio;codiceSpecie;lunghezza;peso;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;275;152;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;206;78;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;181;53;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;226;103;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;165;38;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;185;53;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;142;28;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;115;14;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;95;10;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;94;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;116;16;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;95;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;86;6;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;61;2;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;95;9;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;65;3;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;SZ;100;11;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;SZ;86;7;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;SZ;96;9;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;67;3;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;59;2;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;60;2;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;58;2;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;55;1;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;50;1;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;VA;43;1;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;157;37;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;219;85;;;;;;;;;;;;;;;;;;;;;
07/07/2019;2190627 Reno 390;1;BA;209;86;;;;;;;;;;;;;;;;;;;;;
